Oscar Year,Film,Actress,Won?,Age,Mental Illness,Trauma,Scene Tag,Bathtub,Writer Gender,Shower,River,Other,Ethnicity,Script,Scene Description,Director,Director Gender,Screenplay,Source,Source Gender,Genre 1,Genre 2,Genre 3,Genre 4,MPAA Rating,Runtime,Tagline,Streamer,Budget,Global Box Office,Notes,Who's Seen It
2021,Spencer,Kristen Stewart,,Young,Bulimia; Anxiety,Bulimia,Distressed,,M,Shower,,,White,Script,"Quick shot of Diana in shower clutching back of her neck, probably distraught",Pablo Larrain,M,Steven Knight,,,Biography,Period drama,Psychological thriller,,R,1:57,Every fairy tale ends,,"$18,000,000","$23,807,786",,Gabby
2020,Nomadland,Francis McDormand,Won,Middle-aged,,Homelessness,Pensive,,F,Shower,River,,White,Script,Full frontal river bath (Ophelia vibes); Quick shower shot (hair only) The script calls for a bathtub scene but it's not in the film.,Chloe Zhao,F,Chloe Zhao,"""Nomadland"" novel by Jessica Bruder (2017)",F,Drama,,,,R,1:47,Surviving America in the twenty-first century,,"$5,000,000","$39,458,207",,Gabby
2020,Pieces of a Woman,Vanessa Kirby,,Young,Depression,Stillbirth,Violent; Pensive,Bathtub (2),F,,,,White,,"(1) In labor in bathtub at home, but doesn't literally give birth in tub, then (2) in tub with showerhead running over her hands examining her toes",Kornel Mundruczo,M,Kata Weber,,,Drama,,,,R,2:06,,Netflix,,,,
2020,The United States vs. Billie Holiday,Andra Day,,Young,Addiction,Racism,Violent,,F,,,Prison Hose-Down,Black,Script,,Lee Daniels,M,Suzan-Lori Parks,"""Chasing the Scream"" nonfiction book by Johann Hari (2015)",M,Biography,Period drama,Musical,,R,2:06,Her voice would not be silenced,Hulu,,"$1,312,432",,
2019,Harriet,Cynthia Erivo,,Young,Hypersomnia (manifesting as visions),Slavery,,Bathtub,F;M,,,,Black,Script,"After escaping slavery, she bathes in the home of a free black woman",Kasi Lemmons,F,Kasi Lemmons; Gregory Allen Howard,,,Biography,Period drama,,,PG-13,2:05,Be free or die,,"$17,000,000","$43,347,017",,
2018,The Favourite,Olivia Colman,Won,Middle-aged,Insanity,Her 17 children died,"Erotic, comedic",Mud bath,F;M,,,,White,Script,Mud bath with Rachel Weisz,Yorgos Lanthimos,M,Deborah Davis; Tony MacNamara,,,Biography,Comedy,Period drama,,R,1:59,,,"$15,000,000","$95,918,706",,Brandon
2018,Roma,Yalitza Aparicio,,Young,,Stillbirth,,,M,Shower,,,Hispanic/Native,Script,,Alfonso Cuaron,M,Alfonso Cuaron,,,Drama,,,,R,2:15,There are periods in history that scar societies and moments in life that transform us as individuals,Netflix,,"$1,140,769",,
2018,A Star is Born,Lady Gaga,,Young,,,Violent; Erotic,Bathtub (2),M,,,,White,Script,MANY TUB SCENES: Bathtub fight scene; bathtub sex scene,Bradley Cooper,M,Bradley Cooper; Will Fetters; Eric Roth,1976 screenplay; 1954 screenplay; 1937 screenplay,F;M,Drama,Romance,Musical,,R,2:16,,,"$36,000,000","$436,233,122",There's always a tub scene in ASIB; Joan Didion was a writer on the 1976 screenplay,
2017,The Shape of Water,Sally Hawkins,,Middle-aged,,Mute,Comedic; Erotic,Bathtub (2),F;M,,,,White,Script,Bathtub masturbation scene; bathtub sex scene with monster,Guillermo del Toro,M,Guillermo del Toro; Vanessa Taylor,,,Period drama,Fantasy,Romance,,R,2:03,A fairy tale for troubled times,,"$19,400,000","$195,333,312",,Gabby
2017,Lady Bird,Saoirse Ronan,,Young,,,Comedic,Bathtub,F,,,,White,Script,Masturbates in bathtub. Only shows her feet on the tile.,Greta Gerwig,F,Greta Gerwig,,,Comedy,Drama,,,R,1:34,Time to fly,,"$10,000,000","$78,986,478",,Gabby
2016,La La Land,Emma Stone,Won,Young,,,,,M,Shower,,,White,Script,It only shows Stone step out of the shower and start singing,Damien Chazelle,M,Damien Chazelle,,,Romance,Drama,Musical,,PG-13,2:08,Here's to the fools who dream,,"$30,000,000","$448,906,865",,Gabby
2016,Elle,Isabelle Huppert,,Old,PTSD,Rape,Post-rape,Bathtub,M,Shower,,,White,Script,She takes a bath after she's been raped by a home intruder,Paul Verhoeven,M,David Birke; Harold Manning,"""Elle"" novel by Philippe Djian (2017)",M,Drama,Psychological thriller,Crime,Black comedy,R,2:10,,,"€9,000,000","$12,748,594",Verhoeven also put Sharon Stone in a hot tub in Basic Instinct,Gabby
2016,Jackie,Natalie Portman,,Young,PTSD; Addiction,Grief,Distressed,,M,Shower,,,White,Script,Washes off JFK's blood in the shower post assassination,Pablo Larrain,M,Noah Oppenheim,,,Biography,Period drama,,,R,1:40,I want them to see what they have done to Jack,,"$9,000,000","$29,777,777",,
2015,Room,Brie Larson,Won,Young,PTSD,Kidnap; Rape,Sweet,Bathtub,F,Shower,,,White,Script,Takes bath with her son in room; Takes shower with son when they're free,Lenny Abrahamson,M,Emma Donoghue,"""Room"" novel by Emma Donoghue (2010)",F,Drama,Thriller,,,R,1:58,Love knows no boundaries,,"$13,000,000","$35,401,758",,Gabby
2015,45 Years,Charlotte Rampling,,Old,,,Pensive,Bathtub,M,,,,White,,Rampling takes a bath solo,Andrew Haigh,M,Andrew Haigh,"""In Another Country"" short story by David Constantine (2015)",M,Drama,Romance,,,R,1:31,Do we really know our loved ones?,,,"$14,430,249",,
2014,Gone Girl,Rosamund Pike,,Young,Insanity,Infidelity,,Bathtub,F,Shower,,,White,Script,,David Fincher,M,Gillian Flynn,"""Gone Girl"" novel by Gillian Flynn (2012)",F,Drama,Psychological thriller,Mystery,,R,2:29,Who are you married to?,,"$61,000,000","$369,330,363",,Gabby
2014,Wild,Reese Witherspoon,,Middle-aged,Addiction; Depression,Addiction; Grief,Distressing flashback,,M,Shower,,,White,,Showers (I believe at the home of someone she hitched a ride with) and has flashbacks to her heroin addict past in the shower,Jean-Marc Vallée,M,Nick Hornby,"""Wild"" memoir by Cheryl Strayed (2012)",F,Biography,Drama,Adventure,,R,1:55,,,"$15,000,000","$52,501,541",Vallee also directed Sharp Objects,
2013,Blue Jasmine,Cate Blanchett,Won,Middle-aged,Insanity; Addiction,Infidelity; Criminal husband; Sexual assault,,Bathtub,M,Shower,,,White,,Blanchett takes bubble bath while her swindler husband (Alec Baldwin) gifts her some jewelry,Woody Allen,M,Woody Allen,,,Comedy,Drama,,,PG-13,1:38,,,"$18,000,000","$99,104,804",Amy was also nominated this year for American Hustle but lost. She did not have a bathtub scene in American Hustle. ,Gabby
2012,Amour,Emmanuelle Riva,,Old,Dementia,,Care,,M,Sponge bath in shower,,,White,Script,Old woman sitting in shower chair while her carer gives her a sponge bath,Michael Haneke,M,Michael Haneke,,,Drama,,,,PG-13,2:07,,,"$8,900,000","$29,664,140",,
2011,My Week with Marilyn,Michelle Williams,,Young,Addiction,Miscarriage,Erotic,Bathtub,M,,River,,White,Script,Bathtub scene AND she swims in the Thames,Simon Curtis,M,Adrian Hodges,Colin Clark memoirs (1995; 2000),M,Biography,Period drama,,,R,1:39,,,"£6,400,000","$35,057,696",,Gabby
2011,The Girl with the Dragon Tattoo,Rooney Mara,,Young,PTSD,Rape,,Bath with showerhead,M,,,,White,,,David Fincher,M,Steven Zailian,"""The Girl with the Dragon Tattoo"" novel by Stieg Larsson (2005)",M,Drama,Mystery,Thriller,Crime,R,2:38,Evil shall with evil be expelled,,"$90,000,000","$232,617,430",,Brandon
2010,Black Swan,Natalie Portman,Won,Young,BPD; Bulimia; Anorexia; OCD; Self-harm,Ballet,Psychodrama; Erotic,Bathtub,M,,,,White,Script,Masturbating in bathtub then sees vision of herself standing above her smiling. Sees blood and bloody fingernail then leaves tub and cuts finger,Darren Aronofsky,M,Mark Heyman; Andres Heinz; John J. McLaughlin,,,Drama,Psychological thriller,,,R,1:48,I just want to be perfect,,"$13,000,000","$329,398,046",,Gabby
2010,Blue Valentine,Michelle Williams,,Young,,,,,F;M,Shower,,,White,Script,Shower scene with Ryan Gosling. Not a sex scene. ,Derek Cianfrance,M,Derek Cianfrance; Joey Curtis; Cami Delavigne,,,Drama,Romance,,,R,1:52,Nobody baby but you and me,,"$1,000,000","$15,440,333",,
2009,Julie & Julia,Meryl Streep,,Middle-aged,,Infertile,Comedic,Bathtub,F,,,,White,,Streep taking bubble bath with Stanley Tucci. Not a sex scene.,Nora Ephron,F,Nora Ephron,Powell's book and Child's book,F,Biography,Drama,Romance,,PG-13,2:03,Passion. Ambition. Butter. Do you have what it takes?,,"$40,000,000","$129,540,522","Amy also starred in the movie, but did not have a bathtub scene (and was not nominated).",Gabby
2009,Precious,Gabourey Sidibe,,Young,PTSD,Rape; Abuse,,,M,Shower,,,Black,,She showers (only shows her hand reaching out of shower to grab stuff). ,Lee Daniels,M,Geoffrey Fletcher,"""Push"" novel by Sapphire (1996)",F,Drama,,,,R,1:50,The longest journey begins with a single step,,"$10,000,000","$63,649,529",,Gabby
2008,The Reader,Kate Winslet,Won,Young,,Was a Nazi,Erotic,Bathtub,M,,,,White,Script,Kate has many baths and serves full nipple. She shares baths with Fiennes and he has some solo baths as well. ,Stephen Daldry,M,David Hare,"""The Reader"" novel by Bernhard Schlink (1995)",M,Period drama,Romance,,,R,2:04,Unlock the mystery,,"$32,000,000","$108,902,486",,
2008,Rachel Getting Married,Anne Hathaway,,Young,BPD; Depression; Addiction,Caused brother's death,Care,Bathtub,F,,,,White,Script,Hathaway and Debra Winger have bathtub scene. Her sister helps her bathe and tends to her wounds. Moment of forgiveness for the sisters? Excuse to show Anne's tattoo of dead brother's name? Anne's character is deeply depressed,Jonathan Demme,M,Jenny Lumet,,,Drama,Romance,,,R,1:53,"This is not your family, but this is your family",,,"$16,937,968",,Brandon
2008,Changeling,Angelina Jolie,,Young,,Son kidnapped,Violent,,M,,,Asylum hose-down,White,Script,Violently hosed down with water and disinfectant when they put her in an asylum,Clint Eastwood,M,J. Michael Straczynsky,,,Biography,Period drama,Crime,,R,2:21,"To find her son, she did what no one else dared",,"$55,000,000","$113,398,237",,Gabby
2007,The Savages,Laura Linney,,Middle-aged,,Abuse,,Bathtub,F,,,,White,Script,,Tamara Jenkins,F,Tamara Jenkins,,,Comedy,Drama,,,R,1:53,,,,"$10,653,221",,
