Year,Film,Bathtub,Shower,Pool,Ocean,River,Other,Actress,Won?,Race/Ethnicity,Link to Script,Scene Description,Director,Writer,Notes,Who's Seen It
2021,Spencer,,Shower,,,,,Kristen Stewart,,White,Script,"Quick shot of Diana in shower clutching back of her neck, probably distraught",Pablo Larrain,Steven Knight,,Gabby
2021,The Lost Daughter,,,,Ocean,,,Olivia Colman,,White,Script,Colman swims in ocean multiple times; Flashback to young daughter in bathtub,Maggie Gyllenhaal,Maggie Gyllenhaal; Based on Elena Ferrante novel,,Gabby
2020,Nomadland,,Shower,,,River,,Francis McDormand,Won,White,Script,Full frontal river bath (Ophelia vibes); Quick shower shot (hair only) The script calls for a bathtub scene but it's not in the film.,Chloe Zhao,Chloe Zhao; Based on 2017 book,,Gabby
2020,Pieces of a Woman,Bathtub (2),,,,,,Vanessa Kirby,,White,,"(1) In labor in bathtub at home, but doesn't literally give birth in tub, then (2) in tub with showerhead running over her hands examining her toes",Kornel Mundruczo,Kata Weber,,
2020,The United States vs. Billie Holiday,,,,,,Prison Hose-Down,Andra Day,,Black,Script,,Lee Daniels,Suzan-Lori Parks; Based on Johann Hari book,,
2019,Harriet,Bathtub,,,,,,Cynthia Erivo,,Black,Script,,Kasi Lemmons,Kasi Lemmons; Gregory Allen Howard; Based on story by Howard,,
2018,The Favourite,Mud bath,,,,,,Olivia Colman,Won,White,Script,Mud bath with Rachel Weiss,Yorgos Lanthimos,Deborah Davis; Tony MacNamara,,Brandon
2018,Roma,,Shower,,,,,Yalitza Aparicio,,Hispanic/Native,Script,,Alfonso Cuaron,Alfonso Cuaron,,
2018,A Star is Born,Bathtub,,,,,,Lady Gaga,,White,Script,MANY TUB SCENES: Bathtub fight scene; bathtub sex scene,Bradley Cooper,Cooper; Will Fetters; Eric Roth; previous screenplays and stories,There's always a tub scene in ASIB,
2017,The Shape of Water,Bathtub,,,,,,Sally Hawkins,,White,Script,Bathtub masturbation scene; bathtub sex scene with monster,Guillermo del Toro,del Toro; Vanessa Taylor,,Gabby
