Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
1923,Little Old New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,The Scarlet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=scarlet_letter_1926,,,,
1927,The Jazz Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=jazz_singer,,,,
1927,Downhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,The Lodger: A Story of the London Fog,C,Bathtub,1,,,,June Tripp,,,,,,,,,,,,,,,,,,,,,,,,
1927,The Kid Brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,The Barker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,The Cocoanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Cocoanuts,_The.pdf",4031,tt0019777,,
1930,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,One Good Turn,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=onegoodturn,,,,
1931,The Public Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,Frankenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankenstein (Florey & Fort) [1931-5-23] [Scan].pdf,8521,tt0021884,298,
1931,The Last Flight,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Last-Flight,-The.html",1086,tt0022054,,
1931,Tonight or Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,Platinum Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Platinum_Blonde.html,,,,
1932,American Madness,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/American Madness Script.html,1631,tt0022626,,
1932,Grand Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Grand Hotel Script.html,2438,tt0022958,,
1932,Trouble in Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/emruf3/tip.html,5154,tt0023622,,
1932,What Price Hollywood?,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/scripts/WHAT.pdf,5217,tt0023686,,
1932,The Most Dangerous Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Duck Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Duck-Soup.html,873,tt0023969,,
1933,King Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,King Kong - 1933 Orig. (Includes End Notes) (Digital).pdf,8174,tt0024216,,
1933,The Mystery of the Wax Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/qWAX.htm,4677,tt0024368,,
1933,42nd Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,It Happened One Night,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=it_happened_one_night_1934,,,,
1934,The Rise of Catherine the Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,The Scarlet Pimpernel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,The Thin Man,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/thethinman.html,5115,tt0025878,,
1934,Transatlantic Merry-Go-Round,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/emruf3/tm.html,5147,tt0025905,,
1935,Captain Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Becky Sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Mr. Deeds Goes to Town,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Mr Deeds Goes to Town Script.html,2954,tt0027996,,
1936,Modern Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Sabotage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Romeo and Juliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,The Charge of the Light Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Camille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Lost Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Lost Horizon Script.html,2807,tt0029162,,
1938,The Lady Vanishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,Mr. Smith Goes to Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Mr%20Smith%20Goes%20To%20Washington.txt,4658,tt0031679,,
1939,Ninotchka,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Ninotchka.txt,3016,tt0031725,45,
1939,Made for Each Other,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=made_for_each_other_1939,,,,
1939,The Wizard of Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Wizard-of-Oz,-The.html",1483,tt0032138,839,
1939,Stagecoach,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=stagecoach_1939,,,,
1940,The Grapes of Wrath,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Grapes of Wrath, The Script.html",2442,tt0032551,,
1940,His Girl Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/His-Girl-Friday.html,1015,tt0032599,,
1941,Citizen Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Citizen-Kane.html,808,tt0033467,,
1941,Dr. Jekyll and Mr. Hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Jekyll and Mr. Hyde (John Lee Mahin) (Shooting Script - 1941).pdf,8239,tt0033553,,
1941,Meet John Doe,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Meet John Doe Script.html,2884,tt0033891,,
1941,All That Money Can Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sfy.ru/?script=devil_and_daniel_webster,,,,
1941,Sullivan's Travels,,,,Shower,1,,,,,,,,Veronica Lake,,,,,,,,,,,,,,Sullivan's Travels.pdf,7850,tt0034240,,
1942,I Married a Witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,I Walked with a Zombie,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html,4396,tt0036027,,
1943,The Leopard Man,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/theleopardman.htm,4520,tt0036104,,
1943,The Seventh Victim,,,,Shower,1,,,,,,,,Kim Hunter,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/SeventhVictim.htm,4940,tt0036341,,
1944,The Curse of the Cat People,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/cursecat.htm,4064,tt0036733,,
1944,Double Indemnity,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Double-Indemnity.html,869,tt0036775,,
1944,Tall in the Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Tall-in-the-Saddle.html,1394,tt0037343,,
1945,The Body Snatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/TheBodySnatcher.htm,3949,tt0037549,,
1945,Isle of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/isleofthedead.htm,4437,tt0037820,,
1945,The Seventh Veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,The Lost Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,Lost Weekend (1945).pdf,7494,tt0037884,,
1946,It's a Wonderful Life,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/itsawonderfullife.txt,2642,tt0038650,,
1946,The Big Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,The Lady from Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,Lady From Shanghai (Orson Welles) (Final Draft - 8-17-1946).pdf,8602,tt0040525,,
1947,Gentleman's Agreement,,,,Shower,1,,,,,,,,,,,Gregory Peck,,,,,,,,,,,,,,,
1948,Call Northside 777,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/call_northside_777-1.pdf,3984,tt0040202,,
1948,Mr. Blandings Builds His Dream House,,,,Shower,2,,,,,,,,Myrna Loy,,,Cary Grant,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Mr Blandings Builds His Dream House Script.html,2952,tt0040613,,
1948,Station West,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Station-West.html,1369,tt0040835,,
1948,I Remember Mama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,Roughshod,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Roughshod.html,1292,tt0041827,,
